codigo_mesorregiao;mesorregiao;tipo_atividade;nro_produtores_und_cafe_graos;qtd_produzida_ton_cafe_graos;qtd_vendida_ton_cafe_graos;valor_produzido_curr_x_1000_cafe_graos;valor_vendido_currX1000_cafe_graos
1101;Madeira-Guaporé (RO);Produção de lavouras temporárias;1;0;0;0;0
1101;Madeira-Guaporé (RO);Produção de lavouras permanentes;13;36.64;34.72;211.12;199.99
1101;Madeira-Guaporé (RO);Produção florestal - florestas plantadas;0;0;0;0;0
1101;Madeira-Guaporé (RO);Produção florestal - florestas nativas;0;0;0;0;0
1102;Leste Rondoniense (RO);Produção de lavouras temporárias;1;0;0;0;0
1102;Leste Rondoniense (RO);Produção de lavouras permanentes;37;196.92;183.72;1274.55;1196.31
1102;Leste Rondoniense (RO);Produção florestal - florestas plantadas;0;0;0;0;0
1102;Leste Rondoniense (RO);Produção florestal - florestas nativas;0;0;0;0;0
1201;Vale do Juruá (AC);Produção de lavouras temporárias;1;0;0;0;0
1201;Vale do Juruá (AC);Produção de lavouras permanentes;0;0;0;0;0
1201;Vale do Juruá (AC);Produção florestal - florestas plantadas;0;0;0;0;0
1201;Vale do Juruá (AC);Produção florestal - florestas nativas;0;0;0;0;0
1202;Vale do Acre (AC);Produção de lavouras temporárias;1;0;0;0;0
1202;Vale do Acre (AC);Produção de lavouras permanentes;2;0;0;0;0
1202;Vale do Acre (AC);Produção florestal - florestas plantadas;0;0;0;0;0
1202;Vale do Acre (AC);Produção florestal - florestas nativas;0;0;0;0;0
1301;Norte Amazonense (AM);Produção de lavouras temporárias;0;0;0;0;0
1301;Norte Amazonense (AM);Produção de lavouras permanentes;0;0;0;0;0
1301;Norte Amazonense (AM);Produção florestal - florestas plantadas;0;0;0;0;0
1301;Norte Amazonense (AM);Produção florestal - florestas nativas;0;0;0;0;0
1302;Sudoeste Amazonense (AM);Produção de lavouras temporárias;0;0;0;0;0
1302;Sudoeste Amazonense (AM);Produção de lavouras permanentes;0;0;0;0;0
1302;Sudoeste Amazonense (AM);Produção florestal - florestas plantadas;0;0;0;0;0
1302;Sudoeste Amazonense (AM);Produção florestal - florestas nativas;0;0;0;0;0
1303;Centro Amazonense (AM);Produção de lavouras temporárias;1;0;0;0;0
1303;Centro Amazonense (AM);Produção de lavouras permanentes;4;0;0;0;0
1303;Centro Amazonense (AM);Produção florestal - florestas plantadas;0;0;0;0;0
1303;Centro Amazonense (AM);Produção florestal - florestas nativas;0;0;0;0;0
1304;Sul Amazonense (AM);Produção de lavouras temporárias;2;0;0;0;0
1304;Sul Amazonense (AM);Produção de lavouras permanentes;0;0;0;0;0
1304;Sul Amazonense (AM);Produção florestal - florestas plantadas;0;0;0;0;0
1304;Sul Amazonense (AM);Produção florestal - florestas nativas;0;0;0;0;0
1401;Norte de Roraima (RR);Produção de lavouras temporárias;0;0;0;0;0
1401;Norte de Roraima (RR);Produção de lavouras permanentes;0;0;0;0;0
1401;Norte de Roraima (RR);Produção florestal - florestas plantadas;0;0;0;0;0
1401;Norte de Roraima (RR);Produção florestal - florestas nativas;0;0;0;0;0
1402;Sul de Roraima (RR);Produção de lavouras temporárias;0;0;0;0;0
1402;Sul de Roraima (RR);Produção de lavouras permanentes;0;0;0;0;0
1402;Sul de Roraima (RR);Produção florestal - florestas plantadas;0;0;0;0;0
1402;Sul de Roraima (RR);Produção florestal - florestas nativas;0;0;0;0;0
1501;Baixo Amazonas (PA);Produção de lavouras temporárias;1;0;0;0;0
1501;Baixo Amazonas (PA);Produção de lavouras permanentes;1;0;0;0;0
