"codigo_mesorregiao","mesorregiao","tipo_atividade","nro_produtores_und_cafe_graos","qtd_produzida_ton_cafe_graos","qtd_vendida_ton_cafe_graos","valor_produzido_curr_x_1000_cafe_graos","valor_vendido_currX1000_cafe_graos","produtor_cafe","quartil_producao","classificacao_produtores_tercis"
1101,"Madeira-Guaporé (RO)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1101,"Madeira-Guaporé (RO)","Produção de lavouras permanentes",13,36.64,34.72,211.12,199.99,"Região Produtora","Q2","Número Maior de Produtores"
1102,"Leste Rondoniense (RO)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1102,"Leste Rondoniense (RO)","Produção de lavouras permanentes",37,196.92,183.72,1274.55,1196.31,"Região Produtora","Q2","Número Maior de Produtores"
1201,"Vale do Juruá (AC)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1202,"Vale do Acre (AC)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1202,"Vale do Acre (AC)","Produção de lavouras permanentes",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1303,"Centro Amazonense (AM)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1303,"Centro Amazonense (AM)","Produção de lavouras permanentes",4,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1304,"Sul Amazonense (AM)","Produção de lavouras temporárias",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1501,"Baixo Amazonas (PA)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1501,"Baixo Amazonas (PA)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1504,"Nordeste Paraense (PA)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1504,"Nordeste Paraense (PA)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1504,"Nordeste Paraense (PA)","Produção florestal - florestas nativas",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1505,"Sudoeste Paraense (PA)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1505,"Sudoeste Paraense (PA)","Produção de lavouras permanentes",5,0,0,0,0,"Região Produtora","Q1","Número Maior de Produtores"
1506,"Sudeste Paraense (PA)","Produção de lavouras permanentes",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
1702,"Oriental do Tocantins (TO)","Produção de lavouras temporárias",1,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
2301,"Noroeste Cearense (CE)","Produção de lavouras temporárias",2,0,0,0,0,"Região Produtora","Q1","Número Menor de Produtores"
